pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,ttv_flag,st_logg,sy_dist,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,,1.21,5434.7,17.1,0,,93.1846,4.44038
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,6165.6,19.4,0,2.31,93.1846,4.44038
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,4914.89849,15.464,0,2.45,93.1846,4.44038
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,4684.8142,14.74,0,1.93,125.321,4.56216
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1.51,3432.4,10.8,0,,125.321,4.56216
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,1.54,3337.07,10.5,0,1.6,125.321,4.56216
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,1131.1513,3.559,0,2.55,75.4392,4.91781
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,0.68,1017,3.2,0,,75.4392,4.91781
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,1525.5,4.8,0,2.63,75.4392,4.91781
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.4,2.77,1474.67,4.64,0,,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766,2.864,1581.138,4.975,0,4.4,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,2559.47216,8.053,0,,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,1481.0878,4.66,0,4.45,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.4,2.8,1506.45,4.74,0,4.4,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41,2.83,1541.46777,4.85,0,4.43,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724,2.82,1554.12,4.89,0,,17.9323,6.383
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,,2.73,1440.663,4.533,0,,17.9323,6.383
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.45,1.676,556.83537,1.752,0,4.3,21.1397,6.06428
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.681,533.9544,1.68,0,4.36,21.1397,6.06428
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,800.8,1.6,476.7,1.5,0,4.35,21.1397,6.06428
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,533.93,1.68,0,4.35,21.1397,6.06428
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,533.93,1.68,0,,21.1397,6.06428
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,565.7374,1.78,0,4.36,21.1397,6.06428
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,1373.01872,4.32,0,1.7,124.953,4.75429
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,3273.5,10.3,0,2.82,76.222,5.27476
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,2926.24614,9.207,0,2.87,76.222,5.27476
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,2.54,3127.3,9.84,0,,76.222,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,4000,12,0,,139.135,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,3000,8,0,,139.135,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,3000,8,0,4,139.135,12.0572
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,2543,8,0,,139.135,12.0572
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,280.64248,0.883,0,2.28,95.9863,5.3339
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,289.2253,0.91,0,2.42,95.9863,5.3339
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,632.46,1.99,0,3.5,72.0691,6.20374
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,273.32,0.86,0,3.5,72.0691,6.20374
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,118,1271.31363,4,0,4.5,128.484,14.3374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,4131.79,13,0,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,0,4.86,33.8281,12.9025
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,7786.5,24.5,0,,33.8281,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,4417.837,13.9,0,4.59,,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,2383.6,7.5,0,,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,1589.15,5,0,,64.308,17.4076
